Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm)
0,-0.080439649522304535,88.23529052734375
0.0025000000000000001,-0.083204314112663269,
0.0050000000000000001,-0.086521908640861511,
0.0074999999999999997,-0.089791417121887207,
0.01,-0.092435881495475769,
0.012500000000000001,-0.094118714332580566,
0.014999999999999999,-0.09334941953420639,
0.017500000000000002,-0.092027187347412109,
0.02,-0.090753041207790375,
0.022499999999999999,-0.089406773447990417,
0.025000000000000001,-0.089502930641174316,
0.0275,-0.090079903602600098,
0.029999999999999999,-0.091065570712089539,
0.032500000000000001,-0.09414275735616684,
0.035000000000000003,-0.09625832736492157,
0.037499999999999999,-0.098854705691337585,
0.040000000000000001,-0.10195593535900116,
0.042500000000000003,-0.10943254083395004,
0.044999999999999998,-0.11339922994375229,
0.047500000000000001,-0.11700531095266342,
0.050000000000000003,-0.11984209716320038,
0.052499999999999998,-0.12176533788442612,
0.055,-0.12037098407745361,
0.057500000000000002,-0.11738996207714081,
0.059999999999999998,-0.11299054324626923,
0.0625,-0.10137896239757538,
0.065000000000000002,-0.095128417015075684,
0.067500000000000004,-0.089166365563869476,
0.070000000000000007,-0.083949565887451172,
0.072499999999999995,-0.077194176614284515,
0.074999999999999997,-0.076040230691432953,
0.077499999999999999,-0.076472960412502289,
0.080000000000000002,-0.078324079513549805,
0.082500000000000004,-0.085223719477653503,
0.085000000000000006,-0.089406773447990417,
0.087499999999999994,-0.09339749813079834,
0.089999999999999997,-0.096739135682582855,
0.092499999999999999,-0.10000865161418915,
0.095000000000000001,-0.099696122109889984,
0.097500000000000003,-0.098205611109733582,
0.10000000000000001,-0.09584963321685791,
0.10249999999999999,-0.090127989649772644,
0.105,-0.087507568299770355,
0.1075,-0.085416041314601898,
0.11,-0.083901487290859222,
0.1125,-0.082963906228542328,
0.115,-0.082242690026760101,
0.11749999999999999,-0.082122489809989929,
0.12,-0.082026325166225433,
0.1225,-0.08200228214263916,
0.125,-0.082242690026760101,
0.1275,-0.082723498344421387,
0.13,-0.083516836166381836,
0.13250000000000001,-0.084598660469055176,
0.13500000000000001,-0.087050795555114746,
0.13750000000000001,-0.088060498237609863,
0.14000000000000001,-0.088637471199035645,
0.14249999999999999,-0.088661514222621918,
0.14499999999999999,-0.086882516741752625,
0.14749999999999999,-0.085271798074245453,
0.14999999999999999,-0.083396635949611664,
0.1525,-0.081521473824977875,
0.155,-0.078588530421257019,
0.1575,-0.077819228172302246,
0.16,-0.077602863311767578,
0.16250000000000001,-0.078564487397670746,
0.16500000000000001,-0.079478025436401367,
0.16750000000000001,-0.080463692545890808,
0.17000000000000001,-0.08132915198802948,
0.17249999999999999,-0.082074403762817383,
0.17499999999999999,-0.081737838685512543,
0.17749999999999999,-0.080896422266960144,
0.17999999999999999,-0.079453989863395691,
0.1825,-0.077458620071411133,
0.185,-0.071905255317687988,
0.1875,-0.068443417549133301,
0.19,-0.064669057726860046,
0.1925,-0.056903958320617676,
0.19500000000000001,-0.053466163575649261,
0.19750000000000001,-0.050725542008876801,
0.20000000000000001,-0.048970580101013184,
0.20250000000000001,-0.04844168946146965,
0.20499999999999999,-0.051326554268598557,
0.20749999999999999,-0.054427783936262131,
0.20999999999999999,-0.058105986565351486,
0.21249999999999999,-0.061880350112915039,
0.215,-0.067169271409511566,
0.2175,-0.067674122750759125,
0.22,-0.066255733370780945,
0.2225,-0.062817931175231934,
0.22500000000000001,-0.050485134124755859,
0.22750000000000001,-0.042311351746320724,
0.23000000000000001,-0.033488474786281586,
0.23250000000000001,-0.02461751364171505,
0.23499999999999999,-0.0089671220630407333,
0.23749999999999999,-0.0031493108253926039,
0.23999999999999999,0.00079333782196044922,
0.24249999999999999,0.0026684999465942383,
0.245,2.4040540665737353e-05,
0.2475,-0.0041830539703369141,
0.25,-0.0099287433549761772,
0.2525,-0.016660094261169434,
0.255,-0.031036337837576866,
0.25750000000000001,-0.037599407136440277,
0.26000000000000001,-0.043200850486755371,
0.26250000000000001,-0.047600269317626953,
0.26500000000000001,-0.053033433854579926,
0.26750000000000002,-0.054572027176618576,
0.27000000000000002,-0.055870216339826584,
0.27250000000000002,-0.057432852685451508,
0.27500000000000002,-0.062697730958461761,
0.27750000000000002,-0.066688463091850281,
0.28000000000000003,-0.071376368403434753,
0.28249999999999997,-0.076280638575553894,
0.28499999999999998,-0.084502503275871277,
0.28749999999999998,-0.086497865617275238,
0.28999999999999998,-0.086497865617275238,
0.29249999999999998,-0.084334217011928558,
0.29499999999999998,-0.075078606605529785,
0.29749999999999999,-0.069693528115749359,
0.29999999999999999,-0.065486431121826172,
0.30249999999999999,-0.06394784152507782,
0.30499999999999999,-0.074165068566799164,
0.3075,-0.087844133377075195,
0.31,-0.1076054573059082,
0.3125,-0.13299226760864258,
0.315,-0.19511303305625916,
