Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm),Data Set 2:Time(s),Data Set 2:EKG(mV),Data Set 2:Heart Rate(bpm)
0,-0.04365762323141098,76.225044250488281,0,0.056375067681074142,90.909088134765625
0.0050000000000000001,-0.038609109818935394,,0.0025000000000000001,0.069284841418266296,
0.01,-0.032623015344142914,,0.0050000000000000001,0.085488162934780121,
0.014999999999999999,-0.002259810920804739,,0.0074999999999999997,0.10351856797933578,
0.02,0.0065871081314980984,,0.01,0.1215970516204834,
0.025000000000000001,0.008822878822684288,,0.012500000000000001,0.1377282589673996,
0.029999999999999999,0.01353482436388731,,0.014999999999999999,0.15676836669445038,
0.035000000000000003,0.021924972534179688,,0.017500000000000002,0.15008509159088135,
0.040000000000000001,0.044547121971845627,,0.02,0.13671855628490448,
0.044999999999999998,0.062577530741691589,,0.022499999999999999,0.11815925687551498,
0.050000000000000003,0.081737838685512543,,0.025000000000000001,0.096667014062404633,
0.055,0.082627341151237488,,0.0275,0.056495271623134613,
0.059999999999999998,0.064116120338439941,,0.029999999999999999,0.044066309928894043,
0.065000000000000002,0.044234596192836761,,0.032500000000000001,0.040219824761152267,
0.070000000000000007,0.018583338707685471,,0.035000000000000003,0.046133797615766525,
0.074999999999999997,0.010698040947318077,,0.037499999999999999,0.083661079406738281,
0.080000000000000002,0.011491378769278526,,0.040000000000000001,0.10851900279521942,
0.085000000000000006,0.013871392235159874,,0.042500000000000003,0.12993912398815155,
0.089999999999999997,0.0087507572025060654,,0.044999999999999998,0.14078140258789062,
0.095000000000000001,-0.0015145540237426758,,0.047500000000000001,0.10149916261434555,
0.10000000000000001,-0.017525553703308105,,0.050000000000000003,0.039642851799726486,
0.105,-0.020506581291556358,,0.052499999999999998,-0.054331623017787933,
0.11,-0.0074766082689166069,,0.055,-0.17948667705059052,
0.115,0.0081978244706988335,,0.057500000000000002,-0.50175011157989502,
0.12,0.024737715721130371,,0.059999999999999998,-0.68025112152099609,
0.125,0.022237500175833702,,0.0625,-0.85430467128753662,
0.13,-0.0028848648071289062,,0.065000000000000002,-1.0109528303146362,
0.13500000000000001,-0.025410851463675499,,0.067500000000000004,-1.2253944873809814,
0.14000000000000001,-0.046999257057905197,,0.070000000000000007,-1.2661432027816772,
0.14499999999999999,-0.044811569154262543,,0.072499999999999995,-1.2572001218795776,
0.14999999999999999,-0.017405351623892784,,0.074999999999999997,-1.1995749473571777,
0.155,0.0085103511810302734,,0.077499999999999999,-0.96171778440475464,
0.16,0.040508311241865158,,0.080000000000000002,-0.80088657140731812,
0.16500000000000001,0.050316851586103439,,0.082500000000000004,-0.62810719013214111,
0.17000000000000001,0.047335825860500336,,0.085000000000000006,-0.45590481162071228,
