Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm),Data Set 2:Time(s),Data Set 2:EKG(mV),Data Set 2:Heart Rate(bpm)
0,-0.1522727906703949,69.364158630371094,0,0.027935108169913292,87.751373291015625
0.0050000000000000001,-0.1713850200176239,,0.0025000000000000001,0.019112229347229004,
0.01,-0.18972794711589813,,0.0050000000000000001,0.0076208515092730522,
0.014999999999999999,-0.2301400899887085,,0.0074999999999999997,-0.0020194053649902344,
0.02,-0.20597934722900391,,0.01,-0.0090632839128375053,
0.025000000000000001,-0.12825629115104675,,0.012500000000000001,-0.013054013252258301,
0.029999999999999999,-0.067313514649868011,,0.014999999999999999,-0.0080054998397827148,
0.035000000000000003,-0.010433594696223736,,0.017500000000000002,-0.0027406215667724609,
0.040000000000000001,-0.018607378005981445,,0.02,0.0026925406418740749,
0.044999999999999998,-0.10315795987844467,,0.022499999999999999,0.010433594696223736,
0.050000000000000003,-0.18403033912181854,,0.025000000000000001,0.011611580848693848,
0.055,-0.28045696020126343,,0.0275,0.010794202797114849,
0.059999999999999998,-0.30115586519241333,,0.029999999999999999,0.0084141893312335014,
0.065000000000000002,-0.2635083794593811,,0.032500000000000001,0.001466472982428968,
0.070000000000000007,-0.21347999572753906,,0.035000000000000003,-0.0017549594631418586,
0.074999999999999997,-0.14518082141876221,,0.037499999999999999,-0.00430325698107481,
0.080000000000000002,-0.11803905665874481,,0.040000000000000001,-0.0062986216507852077,
0.085000000000000006,-0.10008077323436737,,0.042500000000000003,-0.011443297378718853,
0.089999999999999997,-0.092916689813137054,,0.044999999999999998,-0.01675625704228878,
0.095000000000000001,-0.080463692545890808,,0.047500000000000001,-0.025410851463675499,
0.10000000000000001,-0.075174771249294281,,0.050000000000000003,-0.038104258477687836,
0.105,-0.084189973771572113,,0.052499999999999998,-0.075511336326599121,
0.11,-0.10332624614238739,,0.055,-0.09830176830291748,
0.115,-0.14119009673595428,,0.057500000000000002,-0.1215008944272995,
0.12,-0.16330739855766296,,0.059999999999999998,-0.14311334490776062,
0.125,-0.18311679363250732,,0.0625,-0.17443816363811493,
0.13,-0.18874228000640869,,0.065000000000000002,-0.18232345581054688,
0.13500000000000001,-0.1931176632642746,,0.067500000000000004,-0.1851842850446701,
0.14000000000000001,-0.19617080688476562,,0.070000000000000007,-0.18427073955535889,
0.14499999999999999,-0.20117124915122986,,0.072499999999999995,-0.17883758246898651,
0.14999999999999999,-0.20424842834472656,,0.074999999999999997,-0.17814040184020996,
0.155,-0.20994603633880615,,0.077499999999999999,-0.18059253692626953,
0.16,-0.21593213081359863,,0.080000000000000002,-0.18641035258769989,
0.16500000000000001,-0.22727927565574646,,0.082500000000000004,-0.20427247881889343,
0.17000000000000001,-0.23273646831512451,,0.085000000000000006,-0.21244625747203827,
0.17499999999999999,-0.22915443778038025,,0.087499999999999994,-0.21701395511627197,
0.17999999999999999,-0.21593213081359863,,0.089999999999999997,-0.21600425243377686,
0.185,-0.18174648284912109,,0.092499999999999999,-0.19330999255180359,
0.19,-0.15335461497306824,,0.095000000000000001,-0.17239472270011902,
0.19500000000000001,-0.10878344625234604,,0.097500000000000003,-0.14732043445110321,
0.20000000000000001,-0.079237625002861023,,0.10000000000000001,-0.12077967822551727,
0.20499999999999999,-0.034522216767072678,,0.10249999999999999,-0.07454971969127655,
0.20999999999999999,-0.0038705270271748304,,0.105,-0.059692662209272385,
0.215,0.042503677308559418,,0.1075,-0.052240096032619476,
0.22,0.072025462985038757,,0.11,-0.052360296249389648,
0.22500000000000001,0.11121153831481934,,0.1125,-0.071592733263969421,
0.23000000000000001,0.13272783160209656,,0.115,-0.087339282035827637,
0.23499999999999999,0.15720109641551971,,0.11749999999999999,-0.10467251390218735,
0.23999999999999999,0.16825973987579346,,0.12,-0.12198170274496078,
0.245,0.17765960097312927,,0.1225,-0.15277764201164246,
0.25,0.18018385767936707,,0.125,-0.16590377688407898,
0.255,0.18153011798858643,,0.1275,-0.17809233069419861,
0.26000000000000001,0.18275618553161621,,0.13,-0.19013664126396179,
0.26500000000000001,0.18705944716930389,,0.13250000000000001,-0.20273387432098389,
0.27000000000000002,0.19126653671264648,,0.13500000000000001,-0.23122191429138184,
0.27500000000000002,0.19691607356071472,,0.13750000000000001,-0.24696847796440125,
0.28000000000000003,0.19828638434410095,,0.14000000000000001,-0.26302754878997803,
0.28499999999999998,0.19484858214855194,,0.14249999999999999,-0.29276570677757263,
0.28999999999999998,0.1891990602016449,,0.14499999999999999,-0.30481001734733582,
0.29499999999999998,0.17869333922863007,,0.14749999999999999,-0.31416177749633789,
0.29999999999999999,0.17261108756065369,,0.14999999999999999,-0.32060465216636658,
0.30499999999999999,0.16782701015472412,,0.1525,-0.32546085119247437,
0.31,0.16797125339508057,,0.155,-0.3246915340423584,
0.315,0.17184178531169891,,0.1575,-0.32250386476516724,
0.32000000000000001,0.1752074658870697,,0.16,-0.3192824125289917,
0.32500000000000001,0.17821252346038818,,0.16250000000000001,-0.31084418296813965,
0.33000000000000002,0.17722687125205994,,0.16500000000000001,-0.30553123354911804,
0.33500000000000002,0.16965410113334656,,0.16750000000000001,-0.29916048049926758,
0.34000000000000002,0.16051869094371796,,0.17000000000000001,-0.29129922389984131,
0.34499999999999997,0.1422959566116333,,0.17249999999999999,-0.26935023069381714,
0.34999999999999998,0.12912175059318542,,0.17499999999999999,-0.25458931922912598,
0.35499999999999998,0.11202891916036606,,0.17749999999999999,-0.23711185157299042,
0.35999999999999999,0.1046244353055954,,0.17999999999999999,-0.21706204116344452,
0.36499999999999999,0.10092218965291977,,0.1825,-0.17097632586956024,
0.37,0.10255694389343262,,0.185,-0.14638285338878632,
0.375,0.10755737870931625,,0.1875,-0.12200574576854706,
0.38,0.11022587865591049,,0.19,-0.098830662667751312,
0.38500000000000001,0.11075477302074432,,0.1925,-0.059788823127746582,
0.39000000000000001,0.10859112441539764,,0.19500000000000001,-0.045316420495510101,
0.39500000000000002,0.10270118713378906,,0.19750000000000001,-0.034738581627607346,
0.40000000000000002,0.097917124629020691,,0.20000000000000001,-0.028031270951032639,
0.40500000000000003,0.090753041207790375,,0.20250000000000001,-0.024809837341308594,
0.40999999999999998,0.086738273501396179,,0.20499999999999999,-0.026949446648359299,
0.41499999999999998,0.083348557353019714,,0.20749999999999999,-0.030507445335388184,
0.41999999999999998,0.083468757569789886,,0.20999999999999999,-0.034642420709133148,
0.42499999999999999,0.086690187454223633,,0.21249999999999999,-0.041710339486598969,
0.42999999999999999,0.089502930641174316,,0.215,-0.043681662529706955,
0.435,0.091690622270107269,,0.2175,-0.044282674789428711,
0.44,0.09056071937084198,,0.22,-0.043513379991054535,
0.44500000000000001,0.085175633430480957,,0.2225,-0.038777392357587814,
0.45000000000000001,0.080319449305534363,,0.22500000000000001,-0.035435758531093597,
0.45500000000000002,0.0738525390625,,0.22750000000000001,-0.031925838440656662,
0.46000000000000002,0.071232125163078308,,0.23000000000000001,-0.028512081131339073,
0.46500000000000002,0.070342622697353363,,0.23250000000000001,-0.022838514298200607,
0.46999999999999997,0.071160003542900085,,0.23499999999999999,-0.020722946152091026,
0.47499999999999998,0.072362028062343597,,0.23749999999999999,-0.018992027267813683,
0.47999999999999998,0.071953341364860535,,0.23999999999999999,-0.017525553703308105,
0.48499999999999999,0.06856362521648407,,0.24249999999999999,-0.014760891906917095,
0.48999999999999999,0.065197944641113281,,0.245,-0.013078054413199425,
0.495,0.061639945954084396,,0.2475,-0.01105864904820919,
0.5,0.062240958213806152,,0.25,-0.0086305541917681694,
0.505,0.068876147270202637,,0.2525,-0.0026204190216958523,
0.51000000000000001,0.076160430908203125,,0.255,0.00074525678064674139,
0.51500000000000001,0.088060498237609863,,0.25750000000000001,0.0041830539703369141,
0.52000000000000002,0.094984173774719238,,0.26000000000000001,0.0075006484985351562,
0.52500000000000002,0.10274927318096161,,0.26250000000000001,0.013174216262996197,
0.53000000000000003,0.10649959743022919,,0.26500000000000001,0.015241703018546104,
0.53500000000000003,0.11094709485769272,,0.26750000000000002,0.016708176583051682,
0.54000000000000004,0.11347135156393051,,0.27000000000000002,0.017549594864249229,
0.54500000000000004,0.11666874587535858,,0.27250000000000002,0.017549594864249229,
0.55000000000000004,0.11835157871246338,,0.27500000000000002,0.016828378662467003,
0.55500000000000005,0.120106540620327,,0.27750000000000002,0.015794634819030762,
0.56000000000000005,0.12061139196157455,,0.28000000000000003,0.014544527046382427,
0.56499999999999995,0.11981805413961411,,0.28249999999999997,0.011755824089050293,
0.56999999999999995,0.11794289201498032,,0.28499999999999998,0.010361473076045513,
0.57499999999999996,0.11282225698232651,,0.28749999999999998,0.0089911622926592827,
0.57999999999999996,0.10794202983379364,,0.28999999999999998,0.0077170133590698242,
0.58499999999999996,0.098686419427394867,,0.29249999999999998,0.0055052838288247585,
0.58999999999999997,0.091522336006164551,,0.29499999999999998,0.00461578369140625,
0.59499999999999997,0.08092045783996582,,0.29749999999999999,0.0039186081849038601,
0.59999999999999998,0.075487300753593445,,0.29999999999999999,0.0034858784638345242,
