Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm)
0,-0.02952178381383419,91.603050231933594
0.0025000000000000001,-0.038777392357587814,
0.0050000000000000001,-0.047600269317626953,
0.0074999999999999997,-0.055437486618757248,
0.01,-0.061928432434797287,
0.012500000000000001,-0.066904827952384949,
0.014999999999999999,-0.073924660682678223,
0.017500000000000002,-0.074814163148403168,
0.02,-0.07563154399394989,
0.022499999999999999,-0.076665282249450684,
0.025000000000000001,-0.079526111483573914,
0.0275,-0.081088744103908539,
0.029999999999999999,-0.08241097629070282,
0.032500000000000001,-0.083252392709255219,
0.035000000000000003,-0.083060070872306824,
0.037499999999999999,-0.082218647003173828,
0.040000000000000001,-0.081305108964443207,
0.042500000000000003,-0.080752179026603699,
0.044999999999999998,-0.082531176507472992,
0.047500000000000001,-0.085367962718009949,
0.050000000000000003,-0.08952697366476059,
0.052499999999999998,-0.094743773341178894,
0.055,-0.10597070306539536,
0.057500000000000002,-0.11058648675680161,
0.059999999999999998,-0.11363963782787323,
0.0625,-0.1146012544631958,
0.065000000000000002,-0.1090959757566452,
0.067500000000000004,-0.10272523015737534,
0.070000000000000007,-0.094359122216701508,
0.072499999999999995,-0.084526538848876953,
0.074999999999999997,-0.06286601722240448,
0.077499999999999999,-0.052288174629211426,
0.080000000000000002,-0.042599838227033615,
0.082500000000000004,-0.034281812608242035,
0.085000000000000006,-0.023151040077209473,
0.087499999999999994,-0.020843148231506348,
0.089999999999999997,-0.020843148231506348,
0.092499999999999999,-0.023151040077209473,
0.095000000000000001,-0.034161608666181564,
0.097500000000000003,-0.042311351746320724,
0.10000000000000001,-0.051663123071193695,
0.10249999999999999,-0.061736106872558594,
0.105,-0.081858038902282715,
0.1075,-0.09094536304473877,
0.11,-0.098878741264343262,
0.1125,-0.10541777312755585,
0.115,-0.11404832452535629,
0.11749999999999999,-0.1162840947508812,
0.12,-0.11734187602996826,
0.1225,-0.11743804067373276,
0.125,-0.1152503490447998,
0.1275,-0.11318286508321762,
0.13,-0.11049032211303711,
0.13250000000000001,-0.10719677060842514,
0.13500000000000001,-0.098950862884521484,
0.13750000000000001,-0.094166800379753113,
0.14000000000000001,-0.089214444160461426,
0.14249999999999999,-0.084334217011928558,
0.14499999999999999,-0.076064273715019226,
0.14749999999999999,-0.07317940890789032,
0.14999999999999999,-0.071376368403434753,
0.1525,-0.07072727382183075,
0.155,-0.072313949465751648,
0.1575,-0.074044868350028992,
0.16,-0.075895987451076508,
0.16250000000000001,-0.077434584498405457,
0.16500000000000001,-0.07808367908000946,
0.16750000000000001,-0.076641246676445007,
0.17000000000000001,-0.073828503489494324,
0.17249999999999999,-0.069693528115749359,
0.17499999999999999,-0.058274269104003906,
0.17749999999999999,-0.051711201667785645,
0.17999999999999999,-0.045124094933271408,
0.1825,-0.039065878838300705,
0.185,-0.030170878395438194,
0.1875,-0.028103392571210861,
0.19,-0.027887027710676193,
0.1925,-0.029593905434012413,
0.19500000000000001,-0.038368701934814453,
0.19750000000000001,-0.044931769371032715,
0.20000000000000001,-0.052456460893154144,
0.20250000000000001,-0.060558121651411057,
0.20499999999999999,-0.077025890350341797,
0.20749999999999999,-0.084790989756584167,
0.20999999999999999,-0.092003151774406433,
0.21249999999999999,-0.098590254783630371,
0.215,-0.1100335568189621,
0.2175,-0.11510610580444336,
0.22,-0.11993825435638428,
0.2225,-0.12465020269155502,
0.22500000000000001,-0.1339058130979538,
0.22750000000000001,-0.13835331797599792,
0.23000000000000001,-0.14251232147216797,
0.23250000000000001,-0.1461184024810791,
0.23499999999999999,-0.15066206455230713,
0.23749999999999999,-0.15114288032054901,
0.23999999999999999,-0.15037357807159424,
0.24249999999999999,-0.14842629432678223,
0.245,-0.1429450511932373,
0.2475,-0.14090161025524139,
0.25,-0.14063715934753418,
0.2525,-0.14325758814811707,
0.255,-0.16131202876567841,
0.25750000000000001,-0.17804424464702606,
0.26000000000000001,-0.20004133880138397,
0.26250000000000001,-0.22663018107414246,
0.26500000000000001,-0.28752487897872925,
0.26750000000000002,-0.31719088554382324,
0.27000000000000002,-0.34228920936584473,
0.27250000000000002,-0.3593820333480835,
0.27500000000000002,-0.35577595233917236,
0.27750000000000002,-0.32894670963287354,
0.28000000000000003,-0.28250038623809814,
0.28249999999999997,-0.21552345156669617,
0.28499999999999998,-0.023247202858328819,
0.28749999999999998,0.096474692225456238,
0.28999999999999998,0.22559642791748047,
0.29249999999999998,0.35750687122344971,
0.29499999999999998,0.5990181565284729,
0.29749999999999999,0.69263201951980591,
0.29999999999999999,0.75847905874252319,
0.30249999999999999,0.79115015268325806,
0.30499999999999999,0.74645876884460449,
0.3075,0.6707310676574707,
0.31,0.56507289409637451,
0.3125,0.43664833903312683,
0.315,0.1475127637386322,
0.3175,0.0057456893846392632,
0.32000000000000001,-0.12275099754333496,
0.32250000000000001,-0.2315344512462616,
0.32500000000000001,-0.37580174207687378,
0.32750000000000001,-0.41042011976242065,
0.33000000000000002,-0.42308947443962097,
0.33250000000000002,-0.41804096102714539,
0.33500000000000002,-0.37498435378074646,
0.33750000000000002,-0.34673672914505005,
0.34000000000000002,-0.31930646300315857,
0.34250000000000003,-0.29526591300964355,
0.34499999999999997,-0.26194572448730469,
0.34749999999999998,-0.25259396433830261,
0.34999999999999998,-0.2470165491104126,
0.35249999999999998,-0.24405956268310547,
0.35499999999999998,-0.24158339202404022,
0.35749999999999998,-0.24040541052818298,
0.35999999999999999,-0.23867449164390564,
0.36249999999999999,-0.2361983060836792,
0.36499999999999999,-0.22908231616020203,
0.36749999999999999,-0.22461077570915222,
0.37,-0.21968245506286621,
0.3725,-0.2143695056438446,
0.375,-0.20311853289604187,
0.3775,-0.1974930465221405,
0.38,-0.19215604662895203,
0.38250000000000001,-0.18732389807701111,
0.38500000000000001,-0.17999152839183807,
0.38750000000000001,-0.17765960097312927,
0.39000000000000001,-0.17616908252239227,
0.39250000000000002,-0.17527958750724792,
0.39500000000000002,-0.17400543391704559,
0.39750000000000002,-0.17282745242118835,
0.40000000000000002,-0.17090420424938202,
0.40250000000000002,-0.16799530386924744,
0.40500000000000003,-0.15938878059387207,
0.40749999999999997,-0.15402774512767792,
0.40999999999999998,-0.1484503448009491,
0.41249999999999998,-0.14299313724040985,
0.41499999999999998,-0.1337134838104248,
0.41749999999999998,-0.13025164604187012,
0.41999999999999998,-0.1275591105222702,
0.42249999999999999,-0.12551566958427429,
0.42499999999999999,-0.12207786738872528,
0.42749999999999999,-0.12003441900014877,
0.42999999999999999,-0.11736591905355453,
0.4325,-0.11388003826141357,
0.435,-0.10423978418111801,
0.4375,-0.098205611109733582,
0.44,-0.09164254367351532,
0.4425,-0.084766946732997894,
0.44500000000000001,-0.07106383889913559,
0.44750000000000001,-0.064596936106681824,
0.45000000000000001,-0.058514676988124847,
0.45250000000000001,-0.052817068994045258,
0.45500000000000002,-0.042263269424438477,
0.45750000000000002,-0.037118595093488693,
0.46000000000000002,-0.031853716820478439,
0.46250000000000002,-0.026300352066755295,
0.46500000000000002,-0.013823310844600201,
0.46750000000000003,-0.0067553920671343803,
0.46999999999999997,0.0008895000210031867,
0.47249999999999998,0.009015202522277832,
0.47499999999999998,0.02632439136505127,
0.47749999999999998,0.035147272050380707,
0.47999999999999998,0.0438259057700634,
0.48249999999999998,0.05214393138885498,
0.48499999999999999,0.067000985145568848,
0.48749999999999999,0.073323652148246765,
0.48999999999999999,0.078852973878383636,
0.49249999999999999,0.083613000810146332,
0.495,0.091281935572624207,
0.4975,0.094503365457057953,
0.5,0.097484394907951355,
0.50249999999999995,0.10036925971508026,
0.505,0.10604282468557358,
0.50749999999999995,0.10880748927593231,
0.51000000000000001,0.1113317459821701,
0.51249999999999996,0.11344730854034424,
0.51500000000000001,0.11565904319286346,
0.51749999999999996,0.11527439206838608,
0.52000000000000002,0.11366367340087891,
0.52249999999999996,0.1106826514005661,
0.52500000000000002,0.10022501647472382,
0.52749999999999997,0.092772446572780609,
0.53000000000000003,0.083925530314445496,
0.53249999999999997,0.073780417442321777,
0.53500000000000003,0.050388973206281662,
0.53749999999999998,0.037479203194379807,
0.54000000000000004,0.024088621139526367,
0.54249999999999998,0.010385513305664062,
0.54500000000000004,-0.017140906304121017,
0.54749999999999999,-0.03060360811650753,
0.55000000000000004,-0.04370570182800293,
0.55249999999999999,-0.056326985359191895,
0.55500000000000005,-0.079790554940700531,
0.5575,-0.090512633323669434,
0.56000000000000005,-0.10051350295543671,
0.5625,-0.10981719195842743,
0.56499999999999995,-0.12626092135906219,
0.5675,-0.13342499732971191,
0.56999999999999995,-0.1399640291929245,
0.57250000000000001,-0.14587800204753876,
0.57499999999999996,-0.15604715049266815,
0.57750000000000001,-0.16037444770336151,
0.57999999999999996,-0.16422092914581299,
0.58250000000000002,-0.16761064529418945,
0.58499999999999996,-0.17292360961437225,
0.58750000000000002,-0.17484685778617859,
0.58999999999999997,-0.1762412041425705,
0.59250000000000003,-0.17717878520488739,
0.59499999999999997,-0.17780384421348572,
0.59750000000000003,-0.17768363654613495,
0.59999999999999998,-0.17746727168560028,
0.60250000000000004,-0.17727494239807129,
0.60499999999999998,-0.17729899287223816,
0.60750000000000004,-0.17768363654613495,
0.60999999999999999,-0.17828464508056641,
0.61250000000000004,-0.17910203337669373,
0.61499999999999999,-0.18085698783397675,
0.61750000000000005,-0.18160223960876465,
0.62,-0.18213114142417908,
0.62250000000000005,-0.1823955774307251,
0.625,-0.18201093375682831,
0.62749999999999995,-0.18140992522239685,
0.63,-0.18064062297344208,
0.63249999999999995,-0.17975112795829773,
0.63500000000000001,-0.17780384421348572,
0.63749999999999996,-0.17684221267700195,
0.64000000000000001,-0.17588059604167938,
0.64249999999999996,-0.17491897940635681,
0.64500000000000002,-0.17301976680755615,
0.64749999999999996,-0.17205815017223358,
0.65000000000000002,-0.17114460468292236,
0.65249999999999997,-0.17027914524078369,
0.65500000000000003,-0.16890883445739746,
0.65749999999999997,-0.16852419078350067,
0.66000000000000003,-0.16833186149597168,
0.66249999999999998,-0.16835591197013855,
0.66500000000000004,-0.16881267726421356,
0.66749999999999998,-0.16907712817192078,
0.67000000000000004,-0.16922137141227722,
0.67249999999999999,-0.169149249792099,
0.67500000000000004,-0.16813954710960388,
0.67749999999999999,-0.16712984442710876,
0.68000000000000005,-0.16583165526390076,
0.6825,-0.16431710124015808,
0.68500000000000005,-0.16099950671195984,
0.6875,-0.15941283106803894,
0.68999999999999995,-0.15797039866447449,
0.6925,-0.15672028064727783,
0.69499999999999995,-0.15482108294963837,
0.69750000000000001,-0.15414795279502869,
0.69999999999999996,-0.15361905097961426,
0.70250000000000001,-0.15313825011253357,
0.70499999999999996,-0.1522727906703949,
0.70750000000000002,-0.15181601047515869,
0.70999999999999996,-0.15131115913391113,
0.71250000000000002,-0.15075823664665222,
0.71499999999999997,-0.14943599700927734,
0.71750000000000003,-0.14871478080749512,
0.71999999999999997,-0.14794549345970154,
0.72250000000000003,-0.14715215563774109,
0.72499999999999998,-0.14556547999382019,
0.72750000000000004,-0.14479617774486542,
0.72999999999999998,-0.14405092597007751,
0.73250000000000004,-0.14332970976829529,
0.73499999999999999,-0.14181515574455261,
0.73750000000000004,-0.14099776744842529,
0.73999999999999999,-0.14015635848045349,
0.74250000000000005,-0.13926684856414795,
0.745,-0.13753592967987061,
0.74750000000000005,-0.13681471347808838,
0.75,-0.13626179099082947,
0.75249999999999995,-0.13594925403594971,
0.755,-0.13602137565612793,
0.75749999999999995,-0.13638198375701904,
0.76000000000000001,-0.13683876395225525,
0.76249999999999996,-0.13770422339439392,
0.76500000000000001,-0.13787250220775604,
0.76749999999999996,-0.1377282589673996,
0.77000000000000002,-0.13727149367332458,
0.77249999999999996,-0.13643006980419159,
0.77500000000000002,-0.13368944823741913,
0.77749999999999997,-0.13188640773296356,
0.78000000000000003,-0.12984296679496765,
0.78249999999999997,-0.12525121867656708,
0.78500000000000003,-0.12279908359050751,
0.78749999999999998,-0.12027482688426971,
0.79000000000000004,-0.11775057017803192,
0.79249999999999998,-0.1130145788192749,
0.79500000000000004,-0.11101921647787094,
0.79749999999999999,-0.10938446223735809,
0.80000000000000004,-0.10823051631450653,
0.80249999999999999,-0.10774970054626465,
0.80500000000000005,-0.10842283815145493,
0.8075,-0.10960082709789276,
0.81000000000000005,-0.11113941669464111,
0.8125,-0.11436085402965546,
0.81499999999999995,-0.1155388355255127,
0.8175,-0.11606772989034653,
0.81999999999999995,-0.11570712178945541,
0.82250000000000001,-0.111620232462883,
0.82499999999999996,-0.10779778659343719,
0.82750000000000001,-0.10282139480113983,
0.82999999999999996,-0.096883378922939301,
0.83250000000000002,-0.083011984825134277,
0.83499999999999996,-0.075775787234306335,
0.83750000000000002,-0.068804025650024414,
0.83999999999999997,-0.06245732307434082,
0.84250000000000003,-0.053009390830993652,
0.84499999999999997,-0.05043705552816391,
0.84750000000000003,-0.049499474465847015,
0.84999999999999998,-0.050268769264221191,
0.85250000000000004,-0.056543350219726562,
0.85499999999999998,-0.061712067574262619,
0.85750000000000004,-0.067890487611293793,
0.85999999999999999,-0.074766084551811218,
0.86250000000000004,-0.089262530207633972,
0.86499999999999999,-0.096234284341335297,
0.86750000000000005,-0.10267715156078339,
0.87,-0.10839879512786865,
0.87250000000000005,-0.11726975440979004,
0.875,-0.12044310569763184,
0.87749999999999995,-0.12287120521068573,
0.88,-0.1246742457151413,
0.88249999999999995,-0.12703022360801697,
0.88500000000000001,-0.12772738933563232,
0.88749999999999996,-0.12808799743652344,
0.89000000000000001,-0.12803992629051208,
0.89249999999999996,-0.1260685920715332,
0.89500000000000002,-0.12388090789318085,
0.89749999999999996,-0.12089987844228745,
0.90000000000000002,-0.11731784045696259,
0.90249999999999997,-0.11032204329967499,
0.90500000000000003,-0.10842283815145493,
0.90749999999999997,-0.10885556787252426,
0.91000000000000003,-0.11262993514537811,
0.91249999999999998,-0.13308843970298767,
0.91500000000000004,-0.15042166411876678,
0.91749999999999998,-0.17205815017223358,
0.92000000000000004,-0.19686798751354218,
0.92249999999999999,-0.24848303198814392,
0.92500000000000004,-0.27011951804161072,
