Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm)
0,-0.064452692866325378,93.02325439453125
0.0025000000000000001,-0.069453120231628418,
0.0050000000000000001,-0.073828503489494324,
0.0074999999999999997,-0.077602863311767578,
0.01,-0.080848336219787598,
0.012500000000000001,-0.083661079406738281,
0.014999999999999999,-0.090825162827968597,
0.017500000000000002,-0.093229219317436218,
0.02,-0.095729433000087738,
0.022499999999999999,-0.098349854350090027,
0.025000000000000001,-0.10351856797933578,
0.0275,-0.10575433820486069,
0.029999999999999999,-0.10753333568572998,
0.032500000000000001,-0.10871132463216782,
0.035000000000000003,-0.10902385413646698,
0.037499999999999999,-0.10823051631450653,
0.040000000000000001,-0.1069563627243042,
0.042500000000000003,-0.10544180870056152,
0.044999999999999998,-0.102292500436306,
0.047500000000000001,-0.10104238986968994,
0.050000000000000003,-0.10012885183095932,
0.052499999999999998,-0.099599957466125488,
0.055,-0.09938359260559082,
0.057500000000000002,-0.099575921893119812,
0.059999999999999998,-0.099840365350246429,
0.0625,-0.10010480880737305,
0.065000000000000002,-0.10041733831167221,
0.067500000000000004,-0.10046541690826416,
0.070000000000000007,-0.10044138133525848,
0.072499999999999995,-0.10029713809490204,
0.074999999999999997,-0.09979228675365448,
0.077499999999999999,-0.099359557032585144,
0.080000000000000002,-0.098830662667751312,
0.082500000000000004,-0.098157525062561035,
0.085000000000000006,-0.096618935465812683,
0.087499999999999994,-0.09584963321685791,
0.089999999999999997,-0.095152460038661957,
0.092499999999999999,-0.094575487077236176,
0.095000000000000001,-0.093950435519218445,
0.097500000000000003,-0.093830227851867676,
0.10000000000000001,-0.093734070658683777,
0.10249999999999999,-0.093589827418327332,
0.105,-0.092628203332424164,
0.1075,-0.09164254367351532,
0.11,-0.090224146842956543,
0.1125,-0.088373027741909027,
0.115,-0.083372592926025391,
0.11749999999999999,-0.080343484878540039,
0.12,-0.077073976397514343,
0.1225,-0.073636174201965332,
0.125,-0.066664420068264008,
0.1275,-0.063322782516479492,
0.13,-0.060269635170698166,
0.13250000000000001,-0.057601135224103928,
0.13500000000000001,-0.053946971893310547,
0.13750000000000001,-0.053129594773054123,
0.14000000000000001,-0.053105555474758148,
0.14249999999999999,-0.053850810974836349,
0.14499999999999999,-0.057336688041687012,
0.14749999999999999,-0.059788823127746582,
0.14999999999999999,-0.062409244477748871,
0.1525,-0.064957544207572937,
0.155,-0.068876147270202637,
0.1575,-0.069909892976284027,
0.16,-0.070174336433410645,
0.16250000000000001,-0.069693528115749359,
0.16500000000000001,-0.066976949572563171,
0.16750000000000001,-0.065077744424343109,
0.17000000000000001,-0.063082382082939148,
0.17249999999999999,-0.061135094612836838,
0.17499999999999999,-0.057817500084638596,
0.17749999999999999,-0.05647122859954834,
0.17999999999999999,-0.05522112175822258,
0.1825,-0.053995054215192795,
0.185,-0.051182311028242111,
0.1875,-0.049499474465847015,
0.19,-0.047648351639509201,
0.1925,-0.045773189514875412,
0.19500000000000001,-0.042527716606855392,
0.19750000000000001,-0.041469931602478027,
0.20000000000000001,-0.040941040962934494,
0.20250000000000001,-0.040965080261230469,
0.20499999999999999,-0.042215190827846527,
0.20749999999999999,-0.043080650269985199,
0.20999999999999999,-0.043729744851589203,
0.21249999999999999,-0.043922066688537598,
0.215,-0.042143069207668304,
0.2175,-0.040027499198913574,
0.22,-0.037190716713666916,
0.2225,-0.033776961266994476,
0.22500000000000001,-0.026348432525992393,
0.22750000000000001,-0.022838514298200607,
0.23000000000000001,-0.019761323928833008,
0.23250000000000001,-0.01721302792429924,
0.23499999999999999,-0.013895432464778423,
0.23749999999999999,-0.013054013252258301,
0.23999999999999999,-0.012645324692130089,
0.24249999999999999,-0.012597243301570415,
0.245,-0.01322229765355587,
0.2475,-0.013799270614981651,
0.25,-0.014520486816763878,
0.2525,-0.015289783477783203,
0.255,-0.016443729400634766,
0.25750000000000001,-0.016443729400634766,
0.26000000000000001,-0.015794634819030762,
0.26250000000000001,-0.014256040565669537,
0.26500000000000001,-0.0079333782196044922,
0.26750000000000002,-0.0030531487427651882,
0.27000000000000002,0.0027887027245014906,
0.27250000000000002,0.0093758106231689453,
0.27500000000000002,0.023343365639448166,
0.27750000000000002,0.029930472373962402,
0.28000000000000003,0.035748284310102463,
0.28249999999999997,0.04046022891998291,
0.28499999999999998,0.045725107192993164,
0.28749999999999998,0.046133797615766525,
0.28999999999999998,0.045051973313093185,
0.29249999999999998,0.042599838227033615,
0.29499999999999998,0.03430585190653801,
0.29749999999999999,0.028872689232230186,
0.29999999999999999,0.02291063591837883,
0.30249999999999999,0.016660094261169434,
0.30499999999999999,0.00430325698107481,
0.3075,-0.0013222297420725226,
0.31,-0.0063467025756835938,
0.3125,-0.010625919327139854,
0.315,-0.016708176583051682,
0.3175,-0.018535256385803223,
0.32000000000000001,-0.019593041390180588,
0.32250000000000001,-0.019953649491071701,
0.32500000000000001,-0.018631419166922569,
0.32750000000000001,-0.016876459121704102,
0.33000000000000002,-0.01430412195622921,
0.33250000000000002,-0.010842284187674522,
0.33500000000000002,-0.0015385946026071906,
0.33750000000000002,0.0037743649445474148,
0.34000000000000002,0.0088469190523028374,
0.34250000000000003,0.012861689552664757,
0.34499999999999997,0.013991594314575195,
0.34749999999999998,0.009255608543753624,
0.34999999999999998,2.4040540665737353e-05,
0.35249999999999998,-0.013919472694396973,
0.35499999999999998,-0.054451823234558105,
0.35749999999999998,-0.078684687614440918,
0.35999999999999999,-0.10306179523468018,
0.36249999999999999,-0.12508293986320496,
0.36499999999999999,-0.15046975016593933,
